word,reading,meanings,level,example_ja,example_en
巡る,めぐる,to go around,N2,お城を巡るのが趣味です。,My hobby is visiting the castle.
巡査,じゅんさ,police; policeman,N2,彼は巡査部長の地位に昇った。,He rose to the rank of sergeant.
順々,じゅんじゅん,in order; in turn,N2,少年たちは皆順々に話した。,All the boys spoke in turn.
順序,じゅんじょ,order; sequence; procedure,N2,何をするにも順序を踏んでやりなさい。,"No matter what you do, you must follow the correct order."
初級,しょきゅう,elementary level,N2,これは初級の教科書です。,This is a beginner's textbook.
初旬,しょじゅん,first 10 days of the month,N2,私は６月初旬にトロントに来たものです。,I came to Toronto at the beginning of June.
所々,ところどころ,here and there; some parts (of something),N2,その本は所々非常にすばらしい。,Parts of the book are quite good.
書取,かきとり,dictation,N2,,
書籍,しょせき,book; publication,N2,この書籍は実に古いものだ。,This book is really old.
書店,しょてん,bookshop,N2,書店で手に入ります。,You can get it at a bookstore.
書道,しょどう,calligraphy,N2,書道って、得意？,Are you good at calligraphy?
書留,かきとめ,writing down; putting on record; recording; making a note of; registration (of mail),N2,この手紙を書留にしたい。,I want to have this letter registered.
助かる,たすかる,to be saved; to be rescued; to survive; to be helpful,N2,それはとても助かる。,That will save me a lot of trouble.
助教授,じょきょうじゅ,assistant professor,N2,私は教授です、いやもっと正確に言えば、助教授です。,"I'm a professor, or rather an associate professor, to be exact."
女の人,おんなのひと,woman,N2,女の人は奇麗です。,The woman is beautiful.
女房,にょうぼう,wife,N2,女房が突然泣き出した。,My wife burst into tears.
勝敗,しょうはい,victory or defeat; issue (of battle),N2,勝敗は問題ではない。,It doesn't matter whether you win or not.
勝負,しょうぶ,victory or defeat; match; contest; game; bout,N2,勝負は問題ではない。,It doesn't matter whether you win or not.
商業,しょうぎょう,commerce; trade; business,N2,彼は商業に従事している。,He is in business.
商社,しょうしゃ,trading company; firm,N2,私は商社で働いています。,I work for a trading company.
商店,しょうてん,shop; business firm,N2,この地域は商店が多い。,There are many stores in this area.
将棋,しょうぎ,Japanese chess,N2,将棋でもやる？,Do you want to play shogi?
小学生,しょうがくせい,grade school student,N2,小学生は６年間学校に通う。,Elementary school children go to school for a term of six years.
小遣い,こづかい,personal expenses; pocket money; spending money; incidental expenses; allowance,N2,私は小遣いが不足している。,I am short of pocket money.
小指,こゆび,little finger,N2,小指がはれました。,My little finger is swollen.
小数,しょうすう,fraction (part of); decimal,N2,次の分数を小数に直しなさい。,Convert the following fractions to decimals.
小父さん,おじさん,middle-aged gentleman; uncle,N2,,
小便,しょうべん,(col) urine; piss,N2,「小便が琥珀色だと言われたら、脱水症状だ」,"""When they say your pee is amber-colored, that means you're dehydrated."""
床の間,とこのま,alcove,N2,手紙に貼る三銭切手が買えないで、幾日も床の間の上に置いてあるようになった。,"I could not buy the 3 sen stamp to put on the letter, so it ended up staying for many days on top of the tokonoma."
床屋,とこや,barber,N2,床屋に行きなさい。,Go to the barber.
承る,うけたまわる,(hum) to hear; to be told; to know,N2,,
消化,しょうか,digestion,N2,消化不良です。,I have gas indigestion.
消極的,しょうきょくてき,passive,N2,彼は消極的な性格だ。,He has a passive character.
消毒,しょうどく,disinfection; sterilization,N2,ほ乳瓶を煮沸消毒しなさい。,Boil the milk bottles.
消防署,しょうぼうしょ,fire station,N2,消防署に連絡してください。,Please call the fire department.
消耗,しょうもう,exhaustion; consumption,N2,プリンターは、消耗品ですか？,Are printers a non-durable good?
焦がす,こがす,to burn; to scorch; to singe; to char,N2,,
焦げる,こげる,to burn; to be burned,N2,灼熱の太陽で体が焦げるほどだった。,The scorching sun grilled us.
焦点,しょうてん,focus; point,N2,彼女の顔に焦点があっている。,Her face is in focus.
照らす,てらす,to shine on; to illuminate,N2,彼とは学生時代から肝胆相照らす仲だよ。,He and I have been inseparable friends since our student days.
照る,てる,to shine,N2,日の照るうちに草を干せ。,Make hay while the sun shines.
省略,しょうりゃく,omission; abbreviation; abridgment,N2,その本の最終章は省略してよい。,You can omit the last chapter of the book.
賞金,しょうきん,prize; monetary award,N2,彼は賞金を銀行に預金した。,He deposited the prize money in the bank.
賞品,しょうひん,prize; trophy,N2,先生はジョンに賞品を与えた。,The teacher gave John a prize.
醤油,しょうゆ,soy sauce,N2,トム、そこの醤油取って。,"Tom, please pass me that soy sauce."
鐘,かね,bell; chime,N2,鐘を鳴らせ。,Ring the bell.
障子,しょうじ,paper sliding door,N2,壁に耳あり障子に目あり。,"Walls have ears, shouji have eyes."
上り,のぼり,up-train (going to Tokyo); ascent,N2,車は上り坂にかかった。,Our car pulled uphill.
上る,のぼる,to ascend; to go up; to climb,N2,月は東から上る。,The moon rises in the east.
上下,じょうげ,high and low; up and down; unloading and loading; praising and blaming,N2,上下逆だよ。,It's upside down.
上級,じょうきゅう,advanced level; high grade; senior,N2,トムは上級のスノーボーダーだ。,Tom is a pretty good snowboarder.
上旬,じょうじゅん,first 10 days of month,N2,トムは１０月上旬からここにいます。,Tom has been here since early October.
乗換,のりかえ,(n) transfer (trains; buses; etc.),N2,,
乗車,じょうしゃ,taking a train; entraining,N2,ご乗車願います！,All aboard!
畳む,たたむ,to fold (clothes),N2,洗濯をすることは構わないのだが、服を畳むことが嫌いだ。,"I don't have a problem doing the laundry, but I hate folding the clothes."
蒸し暑い,むしあつい,humid; sultry,N2,今日は蒸し暑い。,It's a muggy day today.
蒸す,むす,to steam; to poultice; to be sultry,N2,,
蒸気,じょうき,steam; vapour,N2,水は蒸気に変わる。,Water changes into steam.
蒸発,じょうはつ,evaporation; unexplained disappearance,N2,水は蒸発しました。,The water evaporated.
飾り,かざり,decoration,N2,彼は飾り気の無い人だ。,"He is a plain, modest person."
拭く,ふく,to wipe; to dry,N2,窓を拭くの忘れないでね。,I request that you not forget to wipe the windows.
植木,うえき,garden shrubs; trees; potted plant,N2,私は植木が好きだ。,I like a garden tree.
殖える,ふえる,to increase; to multiply,N2,,
殖やす,ふやす,to increase; to add to; to augment,N2,,
職人,しょくにん,worker; mechanic; artisan; craftsman,N2,彼の仕事はビール職人だ。,He is a brewer of beer by trade.
食塩,しょくえん,table salt,N2,めんどうですが食塩をとっていただけませんか。,May I trouble you for the salt?
食器,しょっき,tableware,N2,食器を洗おう。,Let's do the dishes.
信ずる,しんずる,to believe; to believe in; to place trust in,N2,見ることは信ずることなり。,Seeing is believing.
侵入,しんにゅう,penetration; invasion; raid; aggression; trespass,N2,彼は住居に侵入した。,He broke into a house.
唇,くちびる,lips,N2,唇が青いわよ。,Your lips are blue.
寝巻,ねまき,sleep-wear; nightclothes; pyjamas; nightgown; nightdress,N2,寝巻きは着ないんだ。,I don't wear pajamas.
寝間着,ねまき,sleep-wear; nightclothes; pyjamas; nightgown; nightdress,N2,トムったら、寝間着のまま授業にきたのよ。,Tom came to class in his pajamas.
寝台,しんだい,bed; couch,N2,あそこに寝台車が見える。,We see a sleeping car there.
心身,しんしん,mind and body,N2,彼は心身ともに健康だ。,He is sound in both mind and body.
心当たり,こころあたり,having some knowledge of; happening to know,N2,心当たりはないよ。,That doesn't ring a bell.
心得る,こころえる,to be informed; to have thorough knowledge,N2,,
振り仮名,ふりがな,pronunciation key,N2,振り仮名はどうやって付けますか？,How do I add furigana?
振舞う,ふるまう,to behave; to conduct oneself; to entertain (vt),N2,彼はとても奇妙に振舞う。,He behaves in a very strange fashion.
新幹線,しんかんせん,bullet train (very high speed); shinkansen,N2,新しい新幹線の速いこと！,How fast the new Shinkansen goes!
森林,しんりん,forest; woods,N2,森林の空気はおいしい。,The air is wonderful in the woods.
浸ける,つける,to dip in; to soak,N2,,
深まる,ふかまる,to deepen; to heighten; to intensify,N2,謎は深まるばかり。,The mystery continues to deepen.
深夜,しんや,late at night,N2,会議は深夜まで続いた。,The meeting continued late into the night.
申し訳ない,もうしわけない,inexcusable,N2,遅れて申し訳ない。,I'm sorry I'm late.
申請,しんせい,application; request; petition,N2,ビザを申請したんだ。,I applied for a visa.
真っ暗,まっくら,total darkness; shortsightedness; pitch dark,N2,真っ暗闇だ。,It is pitch dark.
真っ黒,まっくろ,pitch black,N2,魚が真っ黒に焦げた。,The fish is burnt black.
真っ青,まっさお,deep blue; ghastly pale,N2,空は真っ青だった。,The sky was a deep blue.
真っ先,まっさき,the head; the foremost; beginning,N2,トムが真っ先に着いた。,Tom arrived first.
真っ白,まっしろ,pure white,N2,真っ白です。,It's really snow white.
真空,しんくう,vacuum; hollow; empty,N2,自然は真空を嫌う。,Nature abhors a vacuum.
真似る,まねる,to mimic; to imitate,N2,子どもは両親の習慣を真似るものだ。,Children imitate their parents' habits.
神様,かみさま,god,N2,神様はいない。,God doesn't exist.
神話,しんわ,myth; legend,N2,彼は古代神話に基づく小説を書いた。,He wrote a novel based on ancient myths.
芯,しん,core; heart; wick; marrow,N2,この替え芯は半年持つ。,This refill lasts half a year.
親指,おやゆび,thumb,N2,針で親指を刺しちゃった。,I pricked my thumb with a needle.
親類,しんるい,relation; kin,N2,彼は私の遠い親類です。,He is my distant relation.
診る,みる,to examine (medical),N2,,
診断,しんだん,diagnosis,N2,彼らは健康診断をうけた。,They went through the medical check-up.
身分,みぶん,social position; social status,N2,身分相応に暮らせ。,Cut your coat according to your cloth.
針金,はりがね,wire,N2,針金は電気を伝える。,Wires transmit electricity.
針路,しんろ,course; direction; compass bearing,N2,,
人差指,ひとさしゆび,index finger,N2,,
人造,じんぞう,man-made; synthetic; artificial,N2,人造皮革は本物の皮にかなわない。,Artificial leather can't compare with the real thing.
人通り,ひとどおり,pedestrian traffic,N2,夜は人通りが無くなった。,The streets emptied in the night.
人文科学,じんぶんかがく,social sciences; humanities,N2,哲学研究は人文科学の１つだ。,The study of philosophy belongs to the humanities.
人命,じんめい,(human) life,N2,彼は人命救助で賞賛された。,He was praised for saving a life.
塵芥,ごみ,trash; rubbish,N2,,
塵紙,ちりがみ,tissue paper; toilet paper,N2,,
甚だしい,はなはだしい,extreme; excessive; terrible,N2,あんなことを彼女に言うなんて非常識も甚だしい。,It's quite absurd of you to tell her that sort of thing.
酢,す,vinegar,N2,酢は嫌いです。,I don't like vinegar.
図鑑,ずかん,picture book,N2,昔は、平気で昆虫触れたのに、今は、図鑑を見るだけでもだめ。,"When I was a kid, touching bugs didn't bother me a bit. Now I can hardly stand looking at pictures of them."
図形,ずけい,figure,N2,この線を軸にして図形を回転してください。,Please take this line as the axis and rotate the figure around it.
図表,ずひょう,chart; diagram; graph,N2,図表２を見ると、これらの貿易サイクルのいくつかは非常に短期のものであることが判明する。,A glance at Chart 2 will reveal that some of these trade cycles are very short-lived.
吹雪,ふぶき,snow storm,N2,吹雪が続いた。,The snowstorm held on.
垂直,すいちょく,vertical; perpendicular,N2,その崖はほとんど垂直です。,The cliff is almost vertical.
推定,すいてい,presumption; assumption; estimation,N2,距離は推定しにくいな。,The distance is hard to estimate.
水産,すいさん,marine products; fisheries,N2,,
水蒸気,すいじょうき,water vapour; steam,N2,熱は水を水蒸気に変える。,Heat turns water into steam.
水素,すいそ,hydrogen,N2,水は水素と酸素を含む。,Water contains hydrogen and oxygen.
水滴,すいてき,drop of water,N2,気密性でない窓ならば、水滴ができるだろう。,"If your windows are not airtight, moisture will seep in."
水筒,すいとう,canteen; flask; water bottle,N2,僕の水筒、どこかな？,Where's my water bottle?
水分,すいぶん,moisture,N2,水分を控えてください。,You should not drink a lot of liquid.
水平,すいへい,water level; horizon,N2,月が水平線上に出た。,The moon rose above the horizon.
水平線,すいへいせん,horizon,N2,月が水平線上に出た。,The moon rose above the horizon.
水曜,すいよう,Wednesday,N2,今日は水曜日です。,Today is Wednesday.
炊く,たく,to boil; to cook,N2,炊飯器でご飯を炊くよ。,We cook rice in a rice cooker.
炊事,すいじ,cooking; culinary arts,N2,私は炊事が全然できない。,I'm all thumbs in the kitchen.
酔っ払い,よっぱらい,drunkard,N2,この酔っ払い！,You are drunk!
随筆,ずいひつ,essays; miscellaneous writings,N2,彼女は随筆を書き始めた。,She set about writing the essay.
杉,すぎ,Japanese cedar,N2,私は、上杉憲信が好き。,I like Kenshin Uesugi.
澄む,すむ,to clear (e.g. weather); to become transparent,N2,,
寸法,すんぽう,measurement; size; dimension,N2,棚の寸法はいくらあるか。,What are the measurements of the shelf?
瀬戸物,せともの,earthenware; crockery; china,N2,その店は瀬戸物を使っている。,The store carries earthenware.
制作,せいさく,work (film; book),N2,どなたが人形を制作したのですか？,Who made the doll?
姓,せい,surname; family name,N2,旧姓は、何？,What is your maiden name?
性質,せいしつ,nature; property; disposition,N2,彼は性質が頑固だ。,He is obstinate in disposition.
性能,せいのう,ability; efficiency,N2,この車はあの車より性能がよい。,This car has a better performance than that one.
性別,せいべつ,distinction by sex; sex; gender,N2,性別で人を分け隔てすべきでない。,You should not discriminate against people because of their sex.
成分,せいぶん,ingredient; component; composition,N2,子宮内の羊水は、海水とほぼ同じ成分だそうです。,They say amniotic fluid has roughly the same composition as sea water.
成立,せいりつ,coming into existence; arrangements; establishment; completion,N2,新しい法が成立した。,A new law has come into existence.
政党,せいとう,(member of) political party,N2,彼らは政党を組織した。,They organized a political party.
整う,ととのう,to be prepared; to be in order; to be put in order; to be arranged,N2,あなたの出発の準備がすべて整うよう取り計らいます。,I will see to it that everything is ready for your departure.
整数,せいすう,integer,N2,,
整備,せいび,adjustment; completion; consolidation,N2,私は整備士です。,I am a mechanic.
正方形,せいほうけい,square,N2,正方形を２等分せよ。,Cut a square in halves.
正味,しょうみ,net (weight),N2,このジャムの正味重量は２００グラムです。,The net weight of this jam is 200 grams.
正面,しょうめん,the front; honesty,N2,正面衝突だった。,The two cars crashed head-on.
正門,せいもん,main gate; main entrance,N2,それは正門です。,It's the front gate.
清い,きよい,clear; pure; noble,N2,心の清い人たちは幸いである。,Blessed are the pure in heart.
清書,せいしょ,clean copy,N2,マユコは原稿の清書をした。,Mayuko made a fair copy of the draft.
清掃,せいそう,cleaning,N2,洗面所をつかった後には、清掃すること。,Clean up after you have finished using the bathroom.
生える,はえる,(1) to grow; to spring up; (2) to cut (teeth),N2,植物が生える。,Plants grow.
生き生き,いきいき,vividly; lively,N2,雨で木の葉が生き生きして見える。,The leaves look fresh in the rain.
生け花,いけばな,(1) flower arrangement,N2,母は生け花を教えている。,My mother teaches flower arranging.
生ずる,しょうずる,to cause; to arise; to be generated,N2,再開発によって地域に便益が生ずる。,Benefits accrue to the community from reconstruction.
生る,なる,to bear fruit,N2,,
生意気,なまいき,impertinent; saucy; cheeky; conceit; audacious; brazen,N2,全く生意気だ。,He has plenty of cheek.
生存,せいぞん,existence; being; survival,N2,生存者はいますか？,Are there survivors?
生長,せいちょう,growth; increment,N2,植物の生長と生産性は、気温と湿度が作り出す入り組んだ関係に敏感に反応する。,Plant growth and productivity react sharply to a complex combination of temperature and moisture.
生年月日,せいねんがっぴ,birth date,N2,生年月日はいつ？,What is your date of birth?
盛る,もる,(1) to serve (food; etc.); (2) to fill up; (3) to prescribe,N2,お刺身を盛るお皿は、どれにする？,Which plate should I serve sashimi on?
製作,せいさく,manufacture; production,N2,小説をもとに製作された映画です。,This film is based on a novel.
西暦,せいれき,Christian Era; anno domini (A.D.),N2,昭和１０年は西暦１９３５年です。,The 10th year of Showa is 1935 in the Western calendar.
誓う,ちかう,to swear; to vow; to take an oath; to pledge,N2,誓うよ、ジョン。,"I swear, John."
請う,こう,to ask; to request,N2,彼はわたしに赦しを請うた。,He asked my pardon.
青少年,せいしょうねん,youth; young person,N2,私には青少年の心理がわからない。,I can not understand the psychology of adolescents.
青白い,あおじろい,pale; pallid,N2,病気ですか。顔が青白いよ。,Are you sick? You look pale.
静まる,しずまる,to quieten down; to calm down; to subside,N2,海をじっと眺めていると私は気が静まる感じがする。,"When I contemplate the sea, I feel calm."
税関,ぜいかん,customs house,N2,税関はどこですか。,Where is the Customs Service?
惜しい,おしい,regrettable; disappointing; precious,N2,命は誰でも惜しい。,Life is dear to everybody.
石鹸,せっけん,soap,N2,石鹸がないよ。,There's no soap.
積む,つむ,to pile up; to stack,N2,一隻の船に全部を積む冒険をするな。,Don't risk putting everything in one boat.
赤道,せきどう,equator,N2,船は今夜赤道を越すだろう。,The ship will cross the equator tonight.
接する,せっする,to come in contact with; to connect; to attend; to receive,N2,フランスはスペインに隣接する。,France is adjacent to Spain.
接近,せっきん,getting closer; drawing nearer; approaching,N2,台風が日本に接近中です。,A typhoon is approaching Japan.
接続,せつぞく,(1) connection; union; join; link; (2) changing trains,N2,インターネットの接続が遮断された。,My internet connection was cut off.
折角,せっかく,with trouble; at great pains; long-awaited,N2,折角来てくれたのに留守をしていてごめんね。,I'm sorry that I wasn't home when you so kindly dropped by.
絶えず,たえず,constantly,N2,彼は父親を絶えず恐れている。,He is in constant dread of his father.
先々月,せんせんげつ,month before last,N2,,
先祖,せんぞ,ancestor,N2,この先祖伝来の家宝は君の物だ。,This heirloom shall be yours.
先端,せんたん,pointed end; tip; fine point,N2,彼女は先端を行っています。,She is on the cutting edge.
先程,さきほど,some time ago,N2,彼は先程家に帰ってきた。,He came back home a while ago.
先頭,せんとう,head; lead; vanguard; first,N2,列の先頭でした。,I was first in line.
占う,うらなう,to forecast; to predict,N2,,
宣伝,せんでん,propaganda; publicity,N2,さあ、宣伝だ。,Now let's talk it up.
専制,せんせい,despotism; autocracy,N2,彼は専制君主である。,He is an absolute monarch.
尖る,とがる,to taper to a point; to become sharp; to be sour; to look displeased,N2,,
扇ぐ,あおぐ,to fan; to flap,N2,,
扇子,せんす,folding fan,N2,犬が腕時計と扇子を食った。,The dog ate a watch and a Japanese fan.
扇風機,せんぷうき,electric fan,N2,扇風機がほしいな。,I want the fan.
栓,せん,stopper; cork; stopcock,N2,栓抜きがいるね。,I need a corkscrew.
洗剤,せんざい,detergent; washing material,N2,洗剤かえた？,Did you change detergents?
潜る,もぐる,(1) to drive; to pass through; (2) to evade; to hide; (3) to dive (into or under water); to go undergroun,N2,深く潜れば潜るほど、水は冷たくなる。,"As we dive deeper, the water becomes colder."
煎る,いる,to parch; to fry,N2,,
線路,せんろ,line; track; roadbed,N2,毎朝線路を横切る。,I cross the rail tracks every morning.
羨ましい,うらやましい,envious; enviable,N2,羨ましいなあ。,I'm jealous.
羨む,うらやむ,to envy,N2,,
船便,ふなびん,surface mail (ship),N2,船便で出してください。,Send this by sea mail.
前後,ぜんご,around; throughout; front and back; before and behind; before and after,N2,腕を前後に振りなさい。,Swing your arm back and forth.
漸く,ようやく,gradually; finally; hardly,N2,漸く目が覚めました。,I finally woke up.
全集,ぜんしゅう,complete works,N2,この全集は最終巻が欠けている。,The last volume is missing from this set.
全身,ぜんしん,the whole body; full-length (portrait),N2,全身筋肉痛だ。,My whole body is sore.
全般,ぜんぱん,(the) whole; universal; wholly; general,N2,そのことは人間全般に言える。,That can be said of mankind at large.
狙い,ねらい,aim,N2,君の狙いは何なんだ？,What are you getting at?
狙う,ねらう,to aim at,N2,どうせ、狙うなら東大よ。,"If you’re going to aim for something, aim for the University of Tokyo."
祖先,そせん,ancestor,N2,あなたの祖先をご存知ですか。,Do you know your forefather?
粗い,あらい,coarse; rough,N2,その物体の表面はかなり粗い。,The surface of the object is fairly rough.
素質,そしつ,character; qualities; genius,N2,彼には音楽家の素質がある。,He has something of the musician in him.
素人,しろうと,amateur; novice,N2,僕も素人です。,"I'm a beginner, too."
素直,すなお,obedient; meek; docile; unaffected,N2,素直になりなよ。,Be honest with yourself.
組み立てる,くみたてる,to assemble; to set up; to construct,N2,僕は機械を組み立てるのが好きだ。,I like putting machines together.
組合せ,くみあわせ,combination,N2,,
蘇る,よみがえる,to be resurrected; to be revived; to be resuscitated; to be rehabilitated,N2,,
遡る,さかのぼる,to go back; to go upstream; to make retroactive,N2,映画は第二次世界大戦に遡る。,The film takes us back to World War II.
創作,そうさく,production; literary creation; work,N2,それは彼女の創作だろう。,I think she made up that story.
倉庫,そうこ,storehouse; warehouse; godown,N2,その倉庫は麻薬密売者の隠れみのだった。,The warehouse was a front for drug traffickers.
捜す,さがす,to search; to seek; to look for,N2,鍵を捜すのを手伝ってくれませんか。,Would you help me look for my keys?
掃く,はく,to sweep; to brush; to gather up,N2,台所をきれいに掃くのを忘れないように。,Don't forget to sweep the kitchen clean.
挿す,さす,to insert; to put in; to graft; to wear in belt,N2,,
掻く,かく,to scratch; to perspire,N2,彼は頭を掻く癖がある。,He has the habit of scratching his head.
早口,はやくち,fast-talking,N2,彼は早口だ。,He is a fast speaker.
早速,さっそく,at once; immediately; without delay; promptly,N2,早速には返事をしかねます。,I can not give you an immediate answer.
争う,あらそう,to dispute; to argue; to be at variance; to compete,N2,わずかな額のことで言い争うのはよせ。,Don't haggle over a small sum of money.
相違,そうい,difference; discrepancy; variation,N2,それらの間には表面的な相違はない。,There is no surface difference between them.
相互,そうご,mutual; reciprocal,N2,友情は相互理解にある。,Friendship consists of mutual understanding.
相撲,すもう,sumo wrestling,N2,腕相撲しよう。,Let's arm wrestle.
窓口,まどぐち,ticket window,N2,会計の窓口はどこですか。,Where is the counter to pay my bill?
総理大臣,そうりだいじん,Prime Minister,N2,総理大臣が辞任した。,The Prime Minister has resigned.
草履,ぞうり,zoori (Japanese footwear); sandals,N2,草履、忘れた。,I forgot my sandals.
葬式,そうしき,funeral,N2,彼の葬式には出なかった。,I didn't attend his funeral.
送り仮名,おくりがな,part of word written in kana,N2,この漢字、送り仮名が間違ってるよ。,The okurigana on this kanji is wrong.
送別,そうべつ,farewell; send-off,N2,トムの送別会に行くの？,Are you going to Tom's farewell party?
送料,そうりょう,postage; carriage,N2,価格には郵送料が含まれている。,The price includes the postage charge.
遭う,あう,to meet; to encounter (undesirable nuance),N2,見つかったらひどい目に遭うぞ。,"If you are found out, you'll catch it."
騒々しい,そうぞうしい,noisy; boisterous,N2,その通りは騒々しい。,That street is very noisy.
騒がしい,さわがしい,noisy,N2,ここは騒がしいな。,It's too noisy in here.
増やす,ふやす,to increase; to add to; to augment,N2,書物は人生の楽しみを増やす。,Books add to the pleasures of life.
増減,ぞうげん,increase and decrease; fluctuation,N2,この数年、体重は増減していません。,My weight has not increased or decreased for several years.
増大,ぞうだい,enlargement,N2,貿易が国富を増大させた。,Trade increased the country's wealth.
憎い,にくい,hateful; abominable; poor-looking; detestable,N2,フランス語が憎い。,I hate French.
憎む,にくむ,to hate; to detest,N2,私を憎むな！,Don't hate me!
憎らしい,にくらしい,odious; hateful,N2,あの男性は憎らしい人だよ！,That man is an odious person!
造船,ぞうせん,shipbuilding,N2,古代人は、みすぼらしい木造船を導くために哀愁漂う灯台を建てた。,The ancient ones built the sorrowful lighthouses to guide their miserable wooden ships.
測る,はかる,to measure; to weigh; to survey,N2,馬の斤量を測る。,I will measure the weight of the horse.
測定,そくてい,measurement,N2,速度を測定する方法はいくつかある。,There are several ways to measure speed.
測量,そくりょう,measurement; surveying,N2,英国の測量法では４クオートは１ガロンだ。,"In the imperial measurement system, four quarts equals one gallon."
足る,たる,to be sufficient; to be enough,N2,皆に食物は足るかい。,Is there enough food to go around?
足跡,あしあと,footprints,N2,足跡があったの。,I found some footprints.
足袋,たび,tabi; Japanese socks (with split toe),N2,着物に足袋は欠かせません。,"In a kimono, tabi can't be absent."
速達,そくたつ,express; special delivery,N2,速達でお願いします。,Please send it by special delivery.
速力,そくりょく,speed,N2,彼は全速力で走った。,He ran as fast as his legs could carry him.
属する,ぞくする,to belong to; to come under; to be affiliated with; to be subject to,N2,彼は上流階級に属する。,He belongs to the upper class.
続々,ぞくぞく,successively; one after another,N2,劇場から続々と人が出てきた。,A stream of people came out of the theater.
卒直,そっちょく,frankness; candour; openheartedness,N2,それでは卒直に話し合おうか。,"Well, let's talk turkey."
揃う,そろう,to become complete; to be equal; to be all present; to gather,N2,,
揃える,そろえる,to put things in order; to arrange; to make uniform; to get something ready,N2,トムはとっても頭がいいって、人々は口を揃える。,People say Tom is very smart.
存じる,ぞんじる,(hum) to know,N2,,
損得,そんとく,loss and gain; advantage and disadvantage,N2,損得なしにしよう。,Let's make it a fair trade.
太鼓,たいこ,drum; tambourine,N2,太鼓の音が聞こえる。,I hear the drum.
妥当,だとう,valid; proper; right; appropriate,N2,妥当な価格だね。,That's a fair price.
打ち消す,うちけす,to deny; to negate; to contradict,N2,,
打合せ,うちあわせ,business meeting; previous arrangement; appointment,N2,,
楕円,だえん,ellipse,N2,卵は、真ん丸ではなく楕円です。,An egg is not round but oval.
体系,たいけい,system; organization,N2,日本語の表記体系は不満かい？,Are you not satisfied with the Japanese writing system?
体制,たいせい,order; system; structure; set-up; organization,N2,兵士達は厳戒体制にあった。,The soldiers were on the alert.
体積,たいせき,capacity; volume,N2,体積を計算するなら、縦と横と深さを掛ければよい。,"To calculate the volume, multiply the length by the width by the depth."
体操,たいそう,gymnastics; physical exercises; calisthenics,N2,体操の時間です！,It's time for gymnastics!
対策,たいさく,counter-plan; counter-measure,N2,対策に関する討議が行われた。,There was a discussion on the measures.
対照,たいしょう,contrast; antithesis; comparison,N2,犬と猫は対照的である。,A cat contrasts with a dog well.
待ち合わせる,まちあわせる,to rendezvous; to meet at a prearranged place and time,N2,,
待合室,まちあいしつ,waiting room,N2,彼は待合室を見回した。,He looked around the waiting room.
怠る,おこたる,to neglect; to be off guard; to be feeling better,N2,連絡を怠るな。,Don't neglect reaching out.
貸し出し,かしだし,lending; loaning,N2,貸し出しは何冊までですか？,How many books can I borrow?
貸家,かしや,house for rent,N2,その家は貸家です。,The house is to let.
貸間,かしま,room to let,N2,この部屋は貸間です。,This room is for rent.
退く,どく,(1) to retreat; to recede; to withdraw,N2,退くのは無理、だって私の本質だ。,"I can't quit it, it's my personality."
退ける,どける,to remove; to take away; to dislodge; to put something out of the way,N2,,
退院,たいいん,leaving hospital,N2,患者は退院した。,The patient was discharged from hospital.
代える,かえる,to exchange; to interchange; to substitute; to replace,N2,,
代る,かわる,(v5r; vi) to take the place of; to relieve; to be substituted for,N2,,
代名詞,だいめいし,pronoun,N2,「クレオパトラ」は美人の代名詞になっている。,The name Cleopatra has become a byword for a beautiful woman.
大して,たいして,(not so) much; (not) very,N2,大して難しくないよ。,It's not very difficult.
大学院,だいがくいん,graduate school,N2,トムは大学院生です。,Tom is a graduate student.
大工,だいく,carpenter,N2,彼の職業は大工です。,He is a carpenter by trade.
大小,だいしょう,size,N2,道路上の大小の石に気をつけなさい。,Watch out for big and small stones on the road!
大層,たいそう,very much; exaggerated; very fine,N2,ロシア語は大層学びにくい。,Russian is very difficult to learn.
大通り,おおどおり,main street,N2,あれがこの町の大通りだ。,That is the main street of this city.
大分,だいぶん,considerably; greatly; a lot,N2,今日は大分暖かいね。,It's fairly warm today.
大凡,おおよそ,about; roughly; as a rule; approximately,N2,,
大木,たいぼく,large tree,N2,大木が倒れた。,A large tree fell down.
題名,だいめい,title,N2,その映画の題名は覚えてないんだ。,I don't remember the title of that movie.
滝,たき,waterfall,N2,橋の上流に滝がある。,There is a waterfall above the bridge.
濁る,にごる,to become muddy; to get impure,N2,,
只,ただ,free of charge; mere; sole; only; usual; common,N2,この新聞は只です。,This newspaper is free.
但し,ただし,but; however; provided that,N2,,
脱線,だっせん,derailment; digression,N2,列車は脱線した。,The train ran off the tracks.
単数,たんすう,singular (number),N2,everyは単数扱いになります。,"The word ""every"" is treated as singular."
担ぐ,かつぐ,to shoulder; to carry on shoulder,N2,俺は家族全員に見送られながら、旅支度を整えたザックを担ぐ。,"Being seen off by my whole family I shouldered a rucksack, stocked with my trip supplies."
探る,さぐる,to search; to look for; to sound out,N2,我々の至上命題はこの紛争にすっぱりと終止符を打つことであって、そのために妥協点を探ることも辞さない。,"Our top priority is to settle this dispute once and for all, so we are ready to meet them halfway."
淡水,たんすい,fresh water,N2,サケは淡水で産卵する。,Salmon lay their eggs in fresh water.
